dataset,clf,sampler,condition,seed,contam,f1,precision,recall,mcc,roc_auc,pr_auc,error
saudi_attrition,SVM-RBF,Borderline,leaked,1,0.1920529801324503,0.7981220657276995,0.7623318385650224,0.8374384236453202,0.5791724368508343,0.8752214322114101,0.8648919314393311,
saudi_attrition,SVM-RBF,Borderline,correct,1,0.1920529801324503,0.725,0.703030303030303,0.7483870967741936,0.5039736968399612,0.8409979342126173,0.8019097672753305,
saudi_attrition,RandForest,Borderline,leaked,1,0.1920529801324503,0.8039702233250621,0.81,0.7980295566502463,0.6109041524618618,0.900482904219952,0.9076348820793562,
saudi_attrition,RandForest,Borderline,correct,1,0.1920529801324503,0.7364864864864865,0.7730496453900709,0.7032258064516129,0.5532750879014396,0.8759574129985699,0.8555801598232707,
saudi_attrition,GradBoost,Borderline,leaked,1,0.1920529801324503,0.7908163265306123,0.8201058201058201,0.7635467980295566,0.597481690773245,0.8942949355723264,0.9111971846493144,
saudi_attrition,GradBoost,Borderline,correct,1,0.1920529801324503,0.7532467532467533,0.7581699346405228,0.7483870967741936,0.5670228413751935,0.8822819005243921,0.875268712966727,
saudi_attrition,XGBoost,Borderline,leaked,1,0.1920529801324503,0.8081841432225064,0.8404255319148937,0.7783251231527094,0.6322703237134275,0.9006770365696815,0.920752973737084,
saudi_attrition,XGBoost,Borderline,correct,1,0.1920529801324503,0.7542087542087542,0.7887323943661971,0.7225806451612903,0.5821804409398463,0.8935324964245986,0.8863678525678672,
saudi_attrition,LogReg,ADASYN,leaked,1,0.0915032679738562,0.7653631284916201,0.7740112994350282,0.7569060773480663,0.5606557646073228,0.8931224995237188,0.8965893139817226,
saudi_attrition,LogReg,ADASYN,correct,1,0.0915032679738562,0.74,0.7655172413793103,0.7161290322580646,0.5537689482060072,0.8792626728110599,0.8714237167757872,
saudi_attrition,DecTree,ADASYN,leaked,1,0.0915032679738562,0.773841961852861,0.7634408602150538,0.7845303867403315,0.5671260122488471,0.8395612769779277,0.8202661983005315,
saudi_attrition,DecTree,ADASYN,correct,1,0.0915032679738562,0.7515923566878981,0.7421383647798742,0.7612903225806451,0.5577621286548389,0.8387414587637056,0.7797005198245297,
saudi_attrition,5NN,ADASYN,leaked,1,0.0915032679738562,0.6648936170212766,0.6410256410256411,0.6906077348066298,0.3452543468911021,0.718340908472362,0.6296116611093445,
saudi_attrition,5NN,ADASYN,correct,1,0.0915032679738562,0.6548672566371682,0.6032608695652174,0.7161290322580646,0.353441899033393,0.7363737486095662,0.6151090741408769,
saudi_attrition,SVM-RBF,ADASYN,leaked,1,0.0915032679738562,0.7277777777777777,0.7318435754189944,0.7237569060773481,0.4876223160923041,0.8455215959502491,0.8278182996988677,
saudi_attrition,SVM-RBF,ADASYN,correct,1,0.0915032679738562,0.7307692307692307,0.7261146496815286,0.7354838709677419,0.5228973233660812,0.8513268711266486,0.8107309744711502,
saudi_attrition,RandForest,ADASYN,leaked,1,0.0915032679738562,0.7823691460055097,0.7802197802197802,0.7845303867403315,0.5873182385594156,0.890278420379392,0.8885120782689342,
saudi_attrition,RandForest,ADASYN,correct,1,0.0915032679738562,0.7458745874587459,0.7635135135135135,0.7290322580645161,0.5600553784017344,0.873542030827904,0.8511963046530984,
saudi_attrition,GradBoost,ADASYN,leaked,1,0.0915032679738562,0.7909604519774012,0.8092485549132948,0.7734806629834254,0.6129241323714291,0.8956263778134611,0.9038938364663196,
saudi_attrition,GradBoost,ADASYN,correct,1,0.0915032679738562,0.7516778523489933,0.7832167832167832,0.7225806451612903,0.5765054188897283,0.8791673287780073,0.867848632750572,
saudi_attrition,XGBoost,ADASYN,leaked,1,0.0915032679738562,0.7955182072829131,0.8068181818181818,0.7845303867403315,0.6181793949282006,0.904253871485725,0.914507004383374,
saudi_attrition,XGBoost,ADASYN,correct,1,0.0915032679738562,0.7641196013289037,0.7876712328767124,0.7419354838709677,0.5940889893910295,0.89871285555379,0.8932760645154186,
saudi_attrition,LogReg,RandomOS,leaked,1,0.2185430463576159,0.7960687960687961,0.7941176470588235,0.7980295566502463,0.5911401774341006,0.8955082627581354,0.9105568967285858,
